"scientificName","PlantGrowthForm","LeafType","LeafPhenology","PhotosyntheticPathway","ClimateZone","param_count_before","param_count_after","PFT","AccSpeciesName","taxonomicStatus","New.accepted","scientificNameAuthorship","genus","taxonRank","family","taxonID","references","source"
"Leplaea laurentii","tree","broadleaved","deciduous",NA,NA,NA,3,"BDT","Leplaea laurentii","Accepted",FALSE,"(De Wild.) E.J.M.Koenen & J.J.de Wilde","Leplaea","species","Meliaceae","wfo-0001333611","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77120944-1","The Meliaceae TEN"
"Leplaea thompsonii","tree","broadleaved","evergreen","C3","tropical",NA,5,"BET-Tr","Guarea thompsonii","Accepted",TRUE,"(Sprague & Hutch.) E.J.M.Koenen & J.J.de Wilde","Leplaea","species","Meliaceae","wfo-0001333613","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77120946-1","The Meliaceae TEN"
"Leptadenia lanceolata subsp. lanceolata","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Leptadenia lancifolia","Accepted",TRUE,NA,"Leptadenia","subspecies","Apocynaceae","wfo-0001425917","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77173519-1","The Apocynaceae TEN"
"Leptadenia pyrotechnica","shrub","broadleaved","deciduous",NA,NA,2,3,"DSH","Leptadenia pyrotechnica","Accepted",FALSE,"(Forssk.) Decne.","Leptadenia","species","Apocynaceae","wfo-0000361232",NA,"The Apocynaceae TEN"
"Leptaulus daphnoides","tree","broadleaved","evergreen","C3","tropical",4,5,"BET-Tr","Leptaulus daphnoides","Accepted",FALSE,"Benth. & Hook.f.","Leptaulus","species","Cardiopteridaceae","wfo-0000837851","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:607986-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leptinella plumosa","shrub","broadleaved","evergreen",NA,NA,NA,3,"ESH","Leptinella plumosa","Accepted",FALSE,"Hook.f.","Leptinella","species","Asteraceae","wfo-0000070285","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=1089348","The Asteraceaae TEN"
"Leptonychia usambarensis","tree","broadleaved","evergreen","C3","tropical",3,5,"BET-Tr","Leptonychia usambarensis","Accepted",FALSE,"K.Schum.","Leptonychia","species","Malvaceae","wfo-0001141156",NA,"The Malvaceae TEN"
"Leucadendron arcuatum","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucadendron arcuatum","Accepted",FALSE,"(Lam.) I.Williams","Leucadendron","species","Proteaceae","wfo-0001106921",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucadendron brunioides","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucadendron brunioides","Accepted",FALSE,"Meisn.","Leucadendron","species","Proteaceae","wfo-0001106928",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucadendron concavum","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucadendron concavum","Accepted",FALSE,"I.Williams","Leucadendron","species","Proteaceae","wfo-0001106944",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucadendron coniferum","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucadendron conifesula","Accepted",FALSE,"Meisn.","Leucadendron","species","Proteaceae","wfo-0001106947",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucadendron corymbosum","shrub","broadleaved","evergreen","C3",NA,3,4,"ESH","Leucadendron corymbosum","Accepted",FALSE,"P.J.Bergius","Leucadendron","species","Proteaceae","wfo-0001106952",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucadendron foedum","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucadendron foedum","Accepted",FALSE,"I.Williams","Leucadendron","species","Proteaceae","wfo-0001106969",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucadendron gandogeri","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucadendron gandogeri","Accepted",FALSE,"Schinz ex Gand.","Leucadendron","species","Proteaceae","wfo-0001106971",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucadendron lanigerum","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucadendron lanigerum","Accepted",FALSE,"H.Buek ex Meisn.","Leucadendron","species","Proteaceae","wfo-0001106979",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
"Leucadendron laureolum","shrub","broadleaved","evergreen","C3",NA,4,4,"ESH","Leucadendron laureolum","Accepted",FALSE,"(Lam.) Fourc.","Leucadendron","species","Proteaceae","wfo-0001106981",NA,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew."
